team,player,position,update_date,injury,injury_status
Atlanta,Mouhamed Gueye,PF,"Mon, Nov 13",Back,Expected to be out until at least Dec 11
Atlanta,Kobe Bufkin,SG,"Sun, Nov 12",Thumb,Expected to be out until at least Jan 7
Boston,Jaylen Brown,SF,"Sat, Nov 18",Groin,Game Time Decision
Brooklyn,Dennis Smith Jr.,PG,"Sat, Nov 18",Back,Game Time Decision
Brooklyn,Ben Simmons,PG,"Tue, Nov 14",Hip,Expected to be out until at least Nov 22
Brooklyn,Cameron Thomas,SG,"Thu, Nov 9",Ankle,Expected to be out until at least Nov 22
Charlotte,Nick Richards,C,"Sat, Nov 18",Concussion,Expected to be out until at least Nov 20
Charlotte,James Bouknight,SG,"Sat, Nov 18",Knee,Expected to be out until at least Nov 20
Charlotte,Terry Rozier,SG,"Sat, Nov 18",Groin,Expected to be out until at least Nov 20
Charlotte,Cody Martin,SG,"Thu, Nov 16",Knee,Expected to be out until at least Nov 22
Charlotte,Frank Ntilikina,PG,"Wed, Oct 25",Lower Leg,Expected to be out until at least Nov 20
Chicago,Dalen Terry,SG,"Sat, Nov 18",Kneecap,Expected to be out until at least Nov 20
Chicago,Lonzo Ball,PG,"Tue, Aug 22",Knee,Out for the season
Cleveland,Donovan Mitchell,SG,"Sat, Nov 18",Hamstring,Expected to be out until at least Nov 21
Cleveland,Ty Jerome,SG,"Sat, Nov 18",Ankle,Expected to be out until at least Nov 21
Cleveland,Isaac Okoro,SG,"Sat, Nov 18",Knee,Expected to be out until at least Nov 21
Cleveland,Ricky Rubio,PG,"Mon, Oct 2",Personal,Expected to be out until at least Jan 1
Dallas,Maxi Kleber,PF,"Sat, Nov 11",Toe,Expected to be out until at least Nov 25
Denver,Jamal Murray,PG,"Thu, Nov 16",Hamstring,Expected to be out until at least Nov 24
Denver,Vlatko Cancar,SF,"Thu, Aug 24",Knee,Expected to be out until at least Apr 1
Detroit,Monte Morris,PG,"Sat, Nov 18",Quadriceps,Expected to be out until at least Nov 20
Detroit,Isaiah Livers,SF,"Sat, Nov 18",Ankle,Game Time Decision
Detroit,Killian Hayes,PG,"Sat, Nov 18",Shoulder,Game Time Decision
Detroit,Jalen Duren,C,"Sat, Nov 18",Ankle,Expected to be out until at least Nov 20
Detroit,Joe Harris,SG,"Sat, Nov 18",Shoulder,Expected to be out until at least Nov 20
Detroit,Bojan Bogdanovic,SF,"Tue, Oct 24",Calf,Expected to be out until at least Nov 24
Golden St.,Trayce Jackson-Davis,PF,"Sun, Nov 19",Lower Leg,Game Time Decision
Golden St.,Gary Payton II,PG,"Sat, Nov 18",Foot,Game Time Decision
Houston,Tari Eason,PF,"Sat, Nov 18",Lower Leg,Game Time Decision
Houston,Amen Thompson,PG,"Sat, Nov 18",Ankle,Game Time Decision
Houston,Victor Oladipo,SG,"Sat, Nov 18",Knee,Expected to be out until at least Nov 20
Indiana,Andrew Nembhard,PG,"Sat, Nov 18",Back,Expected to be out until at least Nov 21
L.A. Clippers,Brandon Boston Jr.,SG,"Thu, Nov 16",Quadriceps,Expected to be out until at least Nov 25
L.A. Clippers,Mason Plumlee,C,"Sun, Nov 12",Knee,Expected to be out until at least Jan 12
L.A. Lakers,LeBron James,SF,"Sat, Nov 18",Calf,Game Time Decision
L.A. Lakers,Jarred Vanderbilt,PF,"Sat, Nov 18",Heel,Expected to be out until at least Nov 21
L.A. Lakers,Jalen Hood-Schifino,SG,"Sat, Nov 18",Knee,Game Time Decision
L.A. Lakers,Anthony Davis,PF,"Sat, Nov 18",Hip,Game Time Decision
